"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","44","111","90","5","0","48.88","6","caught","2","v Australia","Brisbane","1 Dec 1978"
"2","48*","109","90","4","0","53.33","5","not out","4","v Australia","Brisbane","1 Dec 1978"
"3","102","254","221","9","0","46.15","5","bowled","1","v Australia","Perth","15 Dec 1978"
"4","12","68","47","0","0","25.53","5","caught","3","v Australia","Perth","15 Dec 1978"
"5","29","59","48","4","0","60.41","5","lbw","2","v Australia","Melbourne","29 Dec 1978"
"6","49","167","128","3","0","38.28","5","lbw","4","v Australia","Melbourne","29 Dec 1978"
"7","7","24","10","0","0","70.00","5","caught","1","v Australia","Sydney","6 Jan 1979"
"8","34","98","68","3","0","50.00","5","caught","3","v Australia","Sydney","6 Jan 1979"
"9","9","18","13","1","0","69.23","5","lbw","1","v Australia","Adelaide","27 Jan 1979"
"10","21","72","54","3","0","38.88","5","lbw","3","v Australia","Adelaide","27 Jan 1979"
"11","65","141","111","6","0","58.55","5","caught","2","v Australia","Sydney","10 Feb 1979"
"12","DNB","-","-","-","-","-","-","-","4","v Australia","Sydney","10 Feb 1979"
"13","17","37","26","2","0","65.38","4","caught","2","v Australia","Perth","14 Dec 1979"
"14","23","50","42","3","0","54.76","4","caught","4","v Australia","Perth","14 Dec 1979"
"15","3","3","3","0","0","100.00","6","bowled","1","v Australia","Sydney","4 Jan 1980"
"16","98*","184","141","13","0","69.50","7","not out","3","v Australia","Sydney","4 Jan 1980"
"17","0","19","18","0","0","0.00","4","lbw","1","v Australia","Melbourne","1 Feb 1980"
"18","11","19","15","1","0","73.33","4","bowled","3","v Australia","Melbourne","1 Feb 1980"
"19","72","143","98","9","0","73.46","3","caught","1","v Australia","Perth","12 Nov 1982"
"20","28","64","52","1","0","53.84","3","lbw","3","v Australia","Perth","12 Nov 1982"
"21","18","91","64","2","0","28.12","3","caught","1","v Australia","Brisbane","26 Nov 1982"
"22","34","135","83","5","0","40.96","3","caught","3","v Australia","Brisbane","26 Nov 1982"
"23","60","209","133","5","0","45.11","3","caught","2","v Australia","Adelaide","10 Dec 1982"
"24","114","370","259","16","0","44.01","3","bowled","3","v Australia","Adelaide","10 Dec 1982"
"25","18","42","26","1","0","69.23","4","caught","1","v Australia","Melbourne","26 Dec 1982"
"26","3","10","9","0","0","33.33","4","caught","3","v Australia","Melbourne","26 Dec 1982"
"27","70","207","125","7","0","56.00","3","caught","2","v Australia","Sydney","2 Jan 1983"
"28","24","53","39","3","0","61.53","4","caught","4","v Australia","Sydney","2 Jan 1983"
"29","51","148","91","6","0","56.04","5","caught","1","v Australia","Brisbane","14 Nov 1986"
"30","15*","33","28","2","0","53.57","5","not out","4","v Australia","Brisbane","14 Nov 1986"
"31","136","277","175","16","0","77.71","5","caught","1","v Australia","Perth","28 Nov 1986"
"32","48","72","56","7","0","85.71","5","caught","3","v Australia","Perth","28 Nov 1986"
"33","38","61","42","5","0","90.47","5","lbw","2","v Australia","Adelaide","12 Dec 1986"
"34","DNB","-","-","-","-","-","-","-","4","v Australia","Adelaide","12 Dec 1986"
"35","7","22","17","1","0","41.17","5","caught","2","v Australia","Melbourne","26 Dec 1986"
"36","72","133","144","12","0","50.00","5","caught","2","v Australia","Sydney","10 Jan 1987"
"37","37","119","92","5","0","40.21","3","caught","4","v Australia","Sydney","10 Jan 1987"
"38","61","162","121","8","0","50.41","3","caught","1","v Australia","Brisbane","23 Nov 1990"
"39","27","63","44","2","0","61.36","3","bowled","3","v Australia","Brisbane","23 Nov 1990"
"40","100","254","170","8","0","58.82","5","caught","1","v Australia","Melbourne","26 Dec 1990"
"41","0","11","6","0","0","0.00","5","caught","3","v Australia","Melbourne","26 Dec 1990"
"42","123","312","236","15","0","52.11","5","caught","2","v Australia","Sydney","4 Jan 1991"
"43","36","53","38","3","0","94.73","2","caught","4","v Australia","Sydney","4 Jan 1991"
"44","11","34","20","1","0","55.00","5","caught","2","v Australia","Adelaide","25 Jan 1991"
"45","16","54","27","2","0","59.25","4","lbw","4","v Australia","Adelaide","25 Jan 1991"
"46","28*","94","52","3","0","53.84","5","not out","1","v Australia","Perth","1 Feb 1991"
"47","5","7","6","1","0","83.33","5","caught","3","v Australia","Perth","1 Feb 1991"
