"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","22.0","5","65","3","2.95","1","2","v India","Bengaluru","22 Nov 1974"
"2","10.5","4","24","3","2.21","1","4","v India","Bengaluru","22 Nov 1974"
"3","17.3","3","51","3","2.91","1","1","v India","Delhi","11 Dec 1974"
"4","16.0","6","43","1","2.68","1","3","v India","Delhi","11 Dec 1974"
"5","19.3","6","50","5","2.56","1","1","v India","Kolkata","27 Dec 1974"
"6","31.0","6","88","3","2.83","1","3","v India","Kolkata","27 Dec 1974"
"7","20.5","5","64","7","3.07","1","1","v India","Chennai","11 Jan 1975"
"8","21.4","6","57","5","2.63","1","3","v India","Chennai","11 Jan 1975"
"9","31.1","6","79","1","2.53","1","2","v India","Mumbai","23 Jan 1975"
"10","18.0","4","64","1","3.55","1","4","v India","Mumbai","23 Jan 1975"
"11","23.4","9","56","3","2.36","2","1","v India","Kolkata","10 Dec 1983"
"12","4.0","1","11","1","2.75","2","3","v India","Kolkata","10 Dec 1983"
"13","28.0","4","81","1","2.89","2","2","v India","Chennai","24 Dec 1983"
