"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","4","2","-","1","0","-","4","caught","1","v India","Bengaluru","22 Nov 1974"
"2","3","5","-","0","0","-","4","caught","3","v India","Bengaluru","22 Nov 1974"
"3","192*","321","-","20","6","-","5","not out","2","v India","Delhi","11 Dec 1974"
"4","15","-","-","-","0","-","4","run out","2","v India","Kolkata","27 Dec 1974"
"5","47","88","-","9","0","-","4","bowled","4","v India","Kolkata","27 Dec 1974"
"6","50","129","-","7","0","-","5","caught","2","v India","Chennai","11 Jan 1975"
"7","2","10","-","0","0","-","5","caught","4","v India","Chennai","11 Jan 1975"
"8","1","25","-","0","0","-","6","caught","1","v India","Mumbai","23 Jan 1975"
"9","39*","30","-","8","0","-","5","not out","3","v India","Mumbai","23 Jan 1975"
"10","24","-","-","5","0","-","3","caught","1","v India","Kanpur","21 Oct 1983"
"11","67","118","70","8","1","95.71","4","lbw","2","v India","Delhi","29 Oct 1983"
"12","22","-","-","-","0","-","3","caught","4","v India","Delhi","29 Oct 1983"
"13","8","-","-","-","0","-","3","caught","1","v India","Ahmedabad","12 Nov 1983"
"14","20","-","-","-","0","-","3","caught","3","v India","Ahmedabad","12 Nov 1983"
"15","120","263","-","15","1","-","4","stumped","2","v India","Mumbai","24 Nov 1983"
"16","4","-","-","-","0","-","4","caught","4","v India","Mumbai","24 Nov 1983"
"17","9","-","-","2","0","-","3","caught","2","v India","Kolkata","10 Dec 1983"
"18","32","-","-","-","0","-","3","caught","1","v India","Chennai","24 Dec 1983"
"19","DNB","-","-","-","-","-","-","-","3","v India","Chennai","24 Dec 1983"
"20","9","15","9","2","0","100.00","4","caught","2","v India","Delhi","25 Nov 1987"
"21","109*","179","111","13","0","98.19","5","not out","4","v India","Delhi","25 Nov 1987"
"22","37","40","41","4","1","90.24","4","bowled","2","v India","Mumbai","11 Dec 1987"
"23","DNB","-","-","-","-","-","-","-","4","v India","Mumbai","11 Dec 1987"
"24","68","191","134","8","0","50.74","4","caught","1","v India","Kolkata","26 Dec 1987"
"25","DNB","-","-","-","-","-","-","-","3","v India","Kolkata","26 Dec 1987"
"26","68","141","102","8","0","66.66","4","bowled","2","v India","Chennai","11 Jan 1988"
"27","4","12","8","1","0","50.00","4","caught","4","v India","Chennai","11 Jan 1988"
