"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","18.0","2","53","1","2.94","3","2","v India","Bengaluru","15 Dec 1978"
"2","12.0","3","44","1","3.66","3","1","v India","Kolkata","29 Dec 1978"
"3","14.0","3","45","0","3.21","3","3","v India","Kolkata","29 Dec 1978"
"4","34.0","3","123","1","3.61","2","1","v India","Kanpur","2 Feb 1979"
"5","15.0","7","19","4","1.26","1","2","v India","Kanpur","21 Oct 1983"
"6","17.0","7","47","4","2.76","1","3","v India","Kanpur","21 Oct 1983"
"7","24.0","1","105","1","4.37","1","1","v India","Delhi","29 Oct 1983"
"8","18.0","4","52","3","2.88","1","3","v India","Delhi","29 Oct 1983"
"9","26.0","9","66","1","2.53","1","2","v India","Ahmedabad","12 Nov 1983"
"10","13.0","3","23","2","1.76","1","4","v India","Ahmedabad","12 Nov 1983"
"11","32.0","6","88","3","2.75","1","1","v India","Mumbai","24 Nov 1983"
"12","13.0","3","47","1","3.61","1","3","v India","Mumbai","24 Nov 1983"
"13","22.0","7","65","3","2.95","1","1","v India","Kolkata","10 Dec 1983"
"14","15.0","4","37","6","2.46","1","3","v India","Kolkata","10 Dec 1983"
"15","26.0","8","72","5","2.76","1","2","v India","Chennai","24 Dec 1983"
