"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","177*","310","242","24","0","73.14","6","not out","1","v England","Leeds","8 Jun 1989"
"2","DNB","-","-","-","-","-","-","-","3","v England","Leeds","8 Jun 1989"
"3","152*","330","249","17","0","61.04","6","not out","2","v England","Lord's","22 Jun 1989"
"4","21*","70","40","2","0","52.50","6","not out","4","v England","Lord's","22 Jun 1989"
"5","43","80","54","6","0","79.62","6","bowled","1","v England","Birmingham","6 Jul 1989"
"6","DNB","-","-","-","-","-","-","-","3","v England","Birmingham","6 Jul 1989"
"7","92","203","174","7","0","52.87","6","caught","2","v England","Manchester","27 Jul 1989"
"8","DNB","-","-","-","-","-","-","-","4","v England","Manchester","27 Jul 1989"
"9","0","14","8","0","0","0.00","6","caught","1","v England","Nottingham","10 Aug 1989"
"10","14","44","28","1","0","50.00","6","bowled","1","v England","The Oval","24 Aug 1989"
"11","7*","24","12","0","0","58.33","6","not out","3","v England","The Oval","24 Aug 1989"
"12","3","21","19","0","0","15.78","6","bowled","1","v England","Manchester","3 Jun 1993"
"13","78*","192","134","8","0","58.20","6","not out","3","v England","Manchester","3 Jun 1993"
"14","13*","51","32","1","0","40.62","6","not out","1","v England","Lord's","17 Jun 1993"
"15","13","38","28","1","0","46.42","5","caught","2","v England","Nottingham","1 Jul 1993"
"16","47*","196","145","5","0","32.41","6","not out","4","v England","Nottingham","1 Jul 1993"
"17","157*","405","305","19","0","51.47","6","not out","1","v England","Leeds","22 Jul 1993"
"18","59","230","175","6","0","33.71","6","caught","2","v England","Birmingham","5 Aug 1993"
"19","DNB","-","-","-","-","-","-","-","4","v England","Birmingham","5 Aug 1993"
"20","20","37","36","3","0","55.55","6","bowled","2","v England","The Oval","19 Aug 1993"
"21","26","101","81","3","0","32.09","6","lbw","4","v England","The Oval","19 Aug 1993"
"22","12","31","20","3","0","60.00","5","caught","1","v England","Birmingham","5 Jun 1997"
"23","33","135","100","3","0","33.00","4","lbw","3","v England","Birmingham","5 Jun 1997"
"24","0","3","1","0","0","0.00","6","lbw","2","v England","Lord's","19 Jun 1997"
"25","108","241","174","13","0","62.06","5","bowled","1","v England","Manchester","3 Jul 1997"
"26","116","383","271","10","0","42.80","5","caught","3","v England","Manchester","3 Jul 1997"
"27","4","15","12","0","0","33.33","5","caught","2","v England","Leeds","24 Jul 1997"
"28","75","170","102","13","0","73.52","5","bowled","1","v England","Nottingham","7 Aug 1997"
"29","14","59","25","2","0","56.00","5","caught","3","v England","Nottingham","7 Aug 1997"
"30","22","51","34","2","0","64.70","5","lbw","2","v England","The Oval","21 Aug 1997"
"31","6","20","19","0","0","31.57","5","caught","4","v England","The Oval","21 Aug 1997"
"32","105","244","181","13","0","58.01","5","lbw","2","v England","Birmingham","5 Jul 2001"
"33","45","146","97","7","0","46.39","5","caught","2","v England","Lord's","19 Jul 2001"
"34","DNB","-","-","-","-","-","-","-","4","v England","Lord's","19 Jul 2001"
"35","13","38","30","2","0","43.33","5","caught","2","v England","Nottingham","2 Aug 2001"
"36","1*","1","1","0","0","100.00","5","retired notout","4","v England","Nottingham","2 Aug 2001"
"37","157*","312","256","21","1","61.32","5","not out","1","v England","The Oval","23 Aug 2001"
