"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","131","435","301","20","0","43.52","3","bowled","2","v England","Lord's","20 Jun 1996"
"2","136","361","268","17","2","50.74","3","caught","1","v England","Nottingham","4 Jul 1996"
"3","48","121","86","8","0","55.81","3","bowled","3","v England","Nottingham","4 Jul 1996"
"4","5","40","32","0","0","15.62","6","caught","2","v England","Lord's","25 Jul 2002"
"5","0","2","1","0","0","0.00","5","lbw","4","v England","Lord's","25 Jul 2002"
"6","68","234","149","11","0","45.63","5","caught","1","v England","Nottingham","8 Aug 2002"
"7","99","247","159","13","0","62.26","5","bowled","3","v England","Nottingham","8 Aug 2002"
"8","128","261","167","14","3","76.64","5","bowled","1","v England","Leeds","22 Aug 2002"
"9","51","118","84","8","0","60.71","5","caught","2","v England","The Oval","5 Sep 2002"
"10","34","114","82","4","0","41.46","5","bowled","2","v England","Lord's","19 Jul 2007"
"11","40","86","65","6","0","61.53","5","lbw","4","v England","Lord's","19 Jul 2007"
"12","79","233","156","10","1","50.64","5","caught","2","v England","Nottingham","27 Jul 2007"
"13","2*","8","4","0","0","50.00","5","not out","4","v England","Nottingham","27 Jul 2007"
"14","37","128","77","4","1","48.05","5","lbw","1","v England","The Oval","9 Aug 2007"
"15","57","93","68","9","0","83.82","5","caught","3","v England","The Oval","9 Aug 2007"
