"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","43.0","7","105","3","2.44","3","1","v England","Manchester","9 Aug 1990"
"2","17.0","3","65","0","3.82","3","3","v England","Manchester","9 Aug 1990"
"3","24.0","4","77","1","3.20","3","2","v England","Birmingham","6 Jun 1996"
"4","5.0","3","9","0","1.80","3","4","v England","Birmingham","6 Jun 1996"
"5","28.0","9","60","0","2.14","4","1","v England","Lord's","20 Jun 1996"
"6","51.0","14","90","3","1.76","3","3","v England","Lord's","20 Jun 1996"
"7","39.0","6","98","1","2.51","3","2","v England","Nottingham","4 Jul 1996"
"8","42.2","9","128","3","3.02","4","1","v England","Lord's","25 Jul 2002"
"9","24.0","1","84","3","3.50","3","3","v England","Lord's","25 Jul 2002"
"10","33.0","7","93","3","2.81","4","2","v England","Leeds","22 Aug 2002"
"11","29.5","12","66","4","2.21","4","3","v England","Leeds","22 Aug 2002"
"12","35.0","11","105","1","3.00","5","1","v England","The Oval","5 Sep 2002"
"13","10.0","2","28","0","2.80","3","3","v England","The Oval","5 Sep 2002"
"14","23.0","2","60","2","2.60","5","1","v England","Lord's","19 Jul 2007"
"15","17.0","3","70","1","4.11","4","3","v England","Lord's","19 Jul 2007"
"16","12.3","2","32","3","2.56","5","1","v England","Nottingham","27 Jul 2007"
"17","25.0","2","104","3","4.16","4","3","v England","Nottingham","27 Jul 2007"
"18","29.1","7","94","3","3.22","3","2","v England","The Oval","9 Aug 2007"
"19","37.0","9","123","2","3.32","3","4","v England","The Oval","9 Aug 2007"
