"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","59.3","14","155","7","2.60","4","1","v England","The Oval","27 Aug 1998"
"2","54.2","27","65","9","1.19","3","3","v England","The Oval","27 Aug 1998"
"3","64.0","12","143","5","2.23","3","2","v England","Birmingham","30 May 2002"
"4","60.0","20","137","3","2.28","4","1","v England","Manchester","13 Jun 2002"
"5","2.0","0","17","0","8.50","3","4","v England","Manchester","13 Jun 2002"
"6","48.0","10","158","3","3.29","4","1","v England","Lord's","11 May 2006"
"7","25.0","2","86","6","3.44","4","2","v England","Birmingham","25 May 2006"
"8","12.2","3","29","4","2.35","3","4","v England","Birmingham","25 May 2006"
"9","31.0","10","62","3","2.00","3","2","v England","Nottingham","2 Jun 2006"
"10","30.0","10","70","8","2.33","3","4","v England","Nottingham","2 Jun 2006"
