"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","35","166","126","1","0","27.77","4","caught","2","v Australia","Adelaide","10 Dec 1999"
"2","6","29","16","0","0","37.50","4","caught","4","v Australia","Adelaide","10 Dec 1999"
"3","9","55","36","1","0","25.00","3","caught","2","v Australia","Melbourne","26 Dec 1999"
"4","14","160","109","0","0","12.84","3","caught","4","v Australia","Melbourne","26 Dec 1999"
"5","29","102","74","1","0","39.18","3","caught","1","v Australia","Sydney","2 Jan 2000"
"6","0","9","7","0","0","0.00","3","caught","3","v Australia","Sydney","2 Jan 2000"
"7","1","14","11","0","0","9.09","3","caught","2","v Australia","Brisbane","4 Dec 2003"
"8","43*","66","47","6","0","91.48","3","not out","4","v Australia","Brisbane","4 Dec 2003"
"9","233","594","446","23","1","52.24","3","caught","2","v Australia","Adelaide","12 Dec 2003"
"10","72*","241","170","7","0","42.35","3","not out","4","v Australia","Adelaide","12 Dec 2003"
"11","49","105","89","5","0","55.05","3","caught","1","v Australia","Melbourne","26 Dec 2003"
"12","92","332","244","13","0","37.70","3","caught","3","v Australia","Melbourne","26 Dec 2003"
"13","38","119","82","7","0","46.34","3","lbw","1","v Australia","Sydney","2 Jan 2004"
"14","91*","166","114","11","1","79.82","3","not out","3","v Australia","Sydney","2 Jan 2004"
"15","0","5","6","0","0","0.00","3","caught","2","v Australia","Sydney","14 Oct 2005"
"16","23","110","68","3","0","33.82","3","caught","4","v Australia","Sydney","14 Oct 2005"
"17","5","103","66","0","0","7.57","2","lbw","2","v Australia","Melbourne","26 Dec 2007"
"18","16","154","114","2","0","14.03","1","lbw","4","v Australia","Melbourne","26 Dec 2007"
"19","53","240","160","9","0","33.12","2","caught","2","v Australia","Sydney","2 Jan 2008"
"20","38","152","103","6","0","36.89","1","caught","4","v Australia","Sydney","2 Jan 2008"
"21","93","278","183","14","0","50.81","3","caught","1","v Australia","Perth","16 Jan 2008"
"22","3","5","5","0","0","60.00","4","caught","3","v Australia","Perth","16 Jan 2008"
"23","18","73","55","0","0","32.72","3","caught","1","v Australia","Adelaide","24 Jan 2008"
"24","11*","98","64","2","0","17.18","3","retired notout","3","v Australia","Adelaide","24 Jan 2008"
"25","68","249","187","6","0","36.36","3","bowled","2","v Australia","Melbourne","26 Dec 2011"
"26","10","59","29","1","0","34.48","3","bowled","4","v Australia","Melbourne","26 Dec 2011"
"27","5","42","33","1","0","15.15","3","caught","1","v Australia","Sydney","3 Jan 2012"
"28","29","100","73","6","0","39.72","3","bowled","3","v Australia","Sydney","3 Jan 2012"
"29","9","40","35","1","0","25.71","3","bowled","1","v Australia","Perth","13 Jan 2012"
"30","47","177","114","8","0","41.22","3","bowled","3","v Australia","Perth","13 Jan 2012"
"31","1","8","9","0","0","11.11","3","bowled","2","v Australia","Adelaide","24 Jan 2012"
"32","25","95","71","2","0","35.21","3","caught","4","v Australia","Adelaide","24 Jan 2012"
