"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","82","115","-","13","1","-","5","caught","2","v India","Mumbai (BS)","13 Dec 1966"
"2","78*","111","-","7","2","-","5","not out","4","v India","Mumbai (BS)","13 Dec 1966"
"3","5","25","-","0","0","-","5","caught","1","v India","Kolkata","31 Dec 1966"
"4","38","76","-","6","0","-","5","bowled","2","v India","Chennai","13 Jan 1967"
"5","24","60","-","3","1","-","5","bowled","4","v India","Chennai","13 Jan 1967"
"6","30","76","-","3","0","-","5","caught","1","v India","Bengaluru","22 Nov 1974"
"7","163","205","149","22","2","109.39","5","caught","3","v India","Bengaluru","22 Nov 1974"
"8","71","87","-","6","1","-","6","lbw","2","v India","Delhi","11 Dec 1974"
"9","19","-","-","-","0","-","5","caught","2","v India","Kolkata","27 Dec 1974"
"10","28","39","-","4","0","-","5","bowled","4","v India","Kolkata","27 Dec 1974"
"11","39","68","-","6","0","-","6","caught","2","v India","Chennai","11 Jan 1975"
"12","7","14","-","1","0","-","6","stumped","4","v India","Chennai","11 Jan 1975"
"13","242*","429","-","19","4","-","4","not out","1","v India","Mumbai","23 Jan 1975"
"14","37","23","-","3","2","-","4","caught","3","v India","Mumbai","23 Jan 1975"
"15","23","-","-","-","0","-","5","caught","1","v India","Kanpur","21 Oct 1983"
"16","103","312","202","6","1","50.99","6","lbw","2","v India","Delhi","29 Oct 1983"
"17","DNB","-","-","-","-","-","-","-","4","v India","Delhi","29 Oct 1983"
"18","68","284","-","-","1","-","5","caught","1","v India","Ahmedabad","12 Nov 1983"
"19","33","-","34","6","0","97.05","5","caught","3","v India","Ahmedabad","12 Nov 1983"
"20","67","219","142","6","0","47.18","7","run out","2","v India","Mumbai","24 Nov 1983"
"21","9*","-","-","-","0","-","6","not out","4","v India","Mumbai","24 Nov 1983"
"22","161*","495","290","12","0","55.51","6","not out","2","v India","Kolkata","10 Dec 1983"
"23","32","-","-","-","0","-","6","lbw","1","v India","Chennai","24 Dec 1983"
"24","DNB","-","-","-","-","-","-","-","3","v India","Chennai","24 Dec 1983"
