"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","37","102","61","1","0","60.65","6","caught","1","v Australia","Brisbane","3 Feb 2008"
"2","17*","72","54","0","0","31.48","7","not out","2","v Australia","Melbourne","10 Feb 2008"
"3","37","97","50","1","0","74.00","6","run out","2","v Australia","Adelaide","17 Feb 2008"
"4","36","84","66","4","0","54.54","6","caught","2","v Australia","Sydney","24 Feb 2008"
"5","15*","21","12","3","0","125.00","6","not out","2","v Australia","Sydney","2 Mar 2008"
"6","36","52","37","2","1","97.29","5","caught","1","v Australia","Brisbane","4 Mar 2008"
"7","29","61","38","1","0","76.31","6","caught","2","v Australia","Melbourne","5 Feb 2012"
"8","44*","76","58","0","1","75.86","6","not out","2","v Australia","Adelaide","12 Feb 2012"
"9","56","115","84","2","1","66.66","6","caught","2","v Australia","Brisbane","19 Feb 2012"
"10","14","68","49","0","0","28.57","6","lbw","2","v Australia","Sydney","26 Feb 2012"
"11","19","42","31","2","0","61.29","6","bowled","1","v Australia","Melbourne","18 Jan 2015"
"12","DNB","-","-","-","-","-","-","-","1","v Australia","Sydney","26 Jan 2015"
"13","65","94","65","3","2","100.00","6","run out","2","v Australia","Sydney","26 Mar 2015"
"14","18","18","13","1","1","138.46","4","caught","1","v Australia","Perth","12 Jan 2016"
"15","11","16","10","0","0","110.00","5","caught","1","v Australia","Brisbane","15 Jan 2016"
"16","23","23","9","2","2","255.55","5","caught","1","v Australia","Melbourne","17 Jan 2016"
"17","0","2","3","0","0","0.00","4","caught","2","v Australia","Canberra","20 Jan 2016"
"18","34","64","42","1","1","80.95","5","caught","2","v Australia","Sydney","23 Jan 2016"
