"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","29.0","10","56","1","1.93","1","2","v India","Delhi","10 Oct 1996"
"2","7.0","2","30","1","4.28","1","4","v India","Delhi","10 Oct 1996"
"3","19.0","13","19","3","1.00","1","1","v India","Mumbai","27 Feb 2001"
"4","17.1","9","25","2","1.45","1","3","v India","Mumbai","27 Feb 2001"
"5","14.0","8","18","4","1.28","1","2","v India","Kolkata","11 Mar 2001"
"6","39.0","12","103","3","2.64","1","3","v India","Kolkata","11 Mar 2001"
"7","36.0","15","75","3","2.08","1","2","v India","Chennai","18 Mar 2001"
"8","11.1","3","21","2","1.88","1","4","v India","Chennai","18 Mar 2001"
"9","25.0","8","55","4","2.20","1","2","v India","Bengaluru","6 Oct 2004"
"10","20.0","10","39","2","1.95","1","4","v India","Bengaluru","6 Oct 2004"
"11","25.0","4","74","0","2.96","1","2","v India","Chennai","14 Oct 2004"
"12","2.0","0","18","0","9.00","1","4","v India","Chennai","14 Oct 2004"
"13","25.0","13","27","3","1.08","1","2","v India","Nagpur","26 Oct 2004"
"14","16.0","1","79","2","4.93","1","4","v India","Nagpur","26 Oct 2004"
"15","16.0","9","35","1","2.18","1","1","v India","Mumbai","3 Nov 2004"
"16","12.0","6","29","2","2.41","3","3","v India","Mumbai","3 Nov 2004"
