"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","45.0","8","135","4","3.00","4","1","v South Africa","Cape Town","19 Mar 1998"
"2","41.0","10","108","4","2.63","4","3","v South Africa","Cape Town","19 Mar 1998"
"3","30.0","8","63","5","2.10","4","2","v South Africa","Centurion","27 Mar 1998"
"4","23.5","4","94","3","3.94","5","4","v South Africa","Centurion","27 Mar 1998"
"5","58.3","16","122","5","2.08","4","1","v South Africa","Durban","26 Dec 2000"
"6","10.0","1","39","6","3.90","4","3","v South Africa","Durban","26 Dec 2000"
"7","43.0","11","99","1","2.30","4","2","v South Africa","Cape Town","2 Jan 2001"
"8","31.2","8","83","3","2.64","4","2","v South Africa","Johannesburg","8 Nov 2002"
"9","57.0","10","133","2","2.33","4","2","v South Africa","Centurion","15 Nov 2002"
"10","13.3","1","35","2","2.59","3","4","v South Africa","Centurion","15 Nov 2002"
