"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","43","202","149","5","0","28.85","3","caught","2","v West Indies","Kingston","6 Mar 1997"
"2","51*","161","141","5","0","36.17","3","not out","4","v West Indies","Kingston","6 Mar 1997"
"3","57","268","182","4","0","31.31","3","bowled","2","v West Indies","Port of Spain","14 Mar 1997"
"4","78","372","243","8","0","32.09","3","bowled","2","v West Indies","Bridgetown","27 Mar 1997"
"5","2","36","21","0","0","9.52","3","caught","4","v West Indies","Bridgetown","27 Mar 1997"
"6","37*","133","106","3","0","34.90","3","not out","2","v West Indies","St John's","4 Apr 1997"
"7","92","380","295","8","1","31.18","3","caught","1","v West Indies","Georgetown","17 Apr 1997"
"8","144*","436","345","23","0","41.73","5","not out","2","v West Indies","Georgetown","11 Apr 2002"
"9","67","224","147","11","0","45.57","3","bowled","1","v West Indies","Port of Spain","19 Apr 2002"
"10","36","91","62","6","0","58.06","3","caught","3","v West Indies","Port of Spain","19 Apr 2002"
"11","17","79","47","2","0","36.17","3","run out","1","v West Indies","Bridgetown","2 May 2002"
"12","14","94","61","0","0","22.95","3","caught","3","v West Indies","Bridgetown","2 May 2002"
"13","91","378","291","12","0","31.27","3","bowled","1","v West Indies","St John's","10 May 2002"
"14","5","12","11","0","0","45.45","3","lbw","2","v West Indies","Kingston","18 May 2002"
"15","30","79","58","6","0","51.72","3","lbw","4","v West Indies","Kingston","18 May 2002"
"16","49","249","173","4","0","28.32","4","caught","1","v West Indies","St John's","2 Jun 2006"
"17","62","274","177","2","0","35.02","4","caught","3","v West Indies","St John's","2 Jun 2006"
"18","146","344","234","16","0","62.39","4","caught","1","v West Indies","Gros Islet","10 Jun 2006"
"19","22","64","46","0","0","47.82","4","lbw","2","v West Indies","Basseterre","22 Jun 2006"
"20","68*","168","131","4","1","51.90","4","not out","4","v West Indies","Basseterre","22 Jun 2006"
"21","81","340","215","10","0","37.67","4","caught","1","v West Indies","Kingston","30 Jun 2006"
"22","68","257","166","12","0","40.96","4","bowled","3","v West Indies","Kingston","30 Jun 2006"
"23","40","106","67","7","0","59.70","3","caught","1","v West Indies","Kingston","20 Jun 2011"
"24","112","402","274","10","1","40.87","3","caught","3","v West Indies","Kingston","20 Jun 2011"
"25","5","35","21","0","0","23.80","3","caught","1","v West Indies","Bridgetown","28 Jun 2011"
"26","55","219","171","3","0","32.16","3","caught","3","v West Indies","Bridgetown","28 Jun 2011"
"27","5","13","11","0","0","45.45","3","bowled","2","v West Indies","Roseau","6 Jul 2011"
"28","34*","142","89","2","0","38.20","3","not out","4","v West Indies","Roseau","6 Jul 2011"
