"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","24.0","10","51","4","2.12","4","2","v England","Manchester","3 Jun 1993"
"2","49.0","26","86","4","1.75","4","4","v England","Manchester","3 Jun 1993"
"3","35.0","12","57","4","1.62","5","2","v England","Lord's","17 Jun 1993"
"4","48.5","17","102","4","2.08","5","3","v England","Lord's","17 Jun 1993"
"5","40.0","17","74","3","1.85","3","1","v England","Nottingham","1 Jul 1993"
"6","50.0","21","108","3","2.16","4","3","v England","Nottingham","1 Jul 1993"
"7","23.0","9","43","1","1.86","4","2","v England","Leeds","22 Jul 1993"
"8","40.0","16","63","0","1.57","3","3","v England","Leeds","22 Jul 1993"
"9","21.0","7","63","1","3.00","6","1","v England","Birmingham","5 Aug 1993"
"10","49.0","23","82","5","1.67","4","3","v England","Birmingham","5 Aug 1993"
"11","20.0","5","70","2","3.50","4","1","v England","The Oval","19 Aug 1993"
"12","40.0","15","78","3","1.95","3","3","v England","The Oval","19 Aug 1993"
"13","35.0","8","110","1","3.14","4","2","v England","Birmingham","5 Jun 1997"
"14","7.3","0","27","0","3.60","3","4","v England","Birmingham","5 Jun 1997"
"15","2.0","0","9","0","4.50","4","1","v England","Lord's","19 Jun 1997"
"16","19.0","4","47","2","2.47","4","3","v England","Lord's","19 Jun 1997"
"17","30.0","14","48","6","1.60","3","2","v England","Manchester","3 Jul 1997"
"18","30.4","8","63","3","2.05","4","4","v England","Manchester","3 Jul 1997"
"19","1.0","0","2","0","2.00","5","1","v England","Leeds","24 Jul 1997"
"20","21.0","6","53","1","2.52","4","3","v England","Leeds","24 Jul 1997"
"21","32.0","8","86","4","2.68","4","2","v England","Nottingham","7 Aug 1997"
"22","16.0","4","43","3","2.68","4","4","v England","Nottingham","7 Aug 1997"
"23","17.0","8","32","2","1.88","3","1","v England","The Oval","21 Aug 1997"
"24","26.0","9","57","2","2.19","3","3","v England","The Oval","21 Aug 1997"
"25","19.0","4","71","5","3.73","4","1","v England","Birmingham","5 Jul 2001"
"26","10.1","4","29","3","2.85","3","3","v England","Birmingham","5 Jul 2001"
"27","5.3","0","16","2","2.90","4","1","v England","Lord's","19 Jul 2001"
"28","20.0","4","58","1","2.90","4","3","v England","Lord's","19 Jul 2001"
"29","16.0","4","37","2","2.31","4","1","v England","Nottingham","2 Aug 2001"
"30","18.0","5","33","6","1.83","4","3","v England","Nottingham","2 Aug 2001"
"31","16.0","2","49","0","3.06","4","2","v England","Leeds","16 Aug 2001"
"32","18.2","3","58","1","3.16","3","4","v England","Leeds","16 Aug 2001"
"33","44.2","7","165","7","3.72","3","2","v England","The Oval","23 Aug 2001"
"34","28.0","8","64","4","2.28","3","3","v England","The Oval","23 Aug 2001"
"35","7.0","2","19","2","2.71","4","2","v England","Lord's","21 Jul 2005"
"36","20.0","2","64","4","3.20","4","4","v England","Lord's","21 Jul 2005"
"37","25.2","4","116","4","4.57","4","1","v England","Birmingham","4 Aug 2005"
"38","23.1","7","46","6","1.98","4","3","v England","Birmingham","4 Aug 2005"
"39","33.2","5","99","4","2.97","4","1","v England","Manchester","11 Aug 2005"
"40","25.0","3","74","0","2.96","3","3","v England","Manchester","11 Aug 2005"
"41","29.1","4","102","4","3.49","4","1","v England","Nottingham","25 Aug 2005"
"42","13.5","2","31","4","2.24","3","4","v England","Nottingham","25 Aug 2005"
"43","37.3","5","122","6","3.25","4","1","v England","The Oval","8 Sep 2005"
"44","38.3","3","124","6","3.22","3","3","v England","The Oval","8 Sep 2005"
