"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","28.0","8","51","2","1.82","4","1","v South Africa","Durban","13 Nov 1992"
"2","16.0","4","36","1","2.25","4","3","v South Africa","Durban","13 Nov 1992"
"3","26.0","8","60","2","2.30","4","1","v South Africa","Johannesburg","26 Nov 1992"
"4","44.0","22","53","6","1.20","4","3","v South Africa","Johannesburg","26 Nov 1992"
"5","50.3","16","81","3","1.60","3","2","v South Africa","Port Elizabeth","26 Dec 1992"
"6","20.0","5","65","0","3.25","3","4","v South Africa","Port Elizabeth","26 Dec 1992"
"7","47.0","13","101","3","2.14","5","1","v South Africa","Cape Town","2 Jan 1993"
"8","23.0","11","20","1","0.86","4","3","v South Africa","Cape Town","2 Jan 1993"
"9","20.2","3","61","0","3.00","5","1","v South Africa","Durban","26 Dec 1996"
"10","11.0","3","26","2","2.36","4","3","v South Africa","Durban","26 Dec 1996"
"11","51.0","7","136","0","2.66","4","1","v South Africa","Cape Town","2 Jan 1997"
"12","25.0","4","58","2","2.32","4","3","v South Africa","Cape Town","2 Jan 1997"
"13","25.0","5","63","1","2.52","3","2","v South Africa","Johannesburg","16 Jan 1997"
"14","23.0","7","40","3","1.73","3","4","v South Africa","Johannesburg","16 Jan 1997"
"15","50.0","12","132","3","2.64","4","2","v South Africa","Bloemfontein","3 Nov 2001"
"16","4.0","0","23","1","5.75","2","4","v South Africa","Bloemfontein","3 Nov 2001"
"17","29.0","10","67","1","2.31","4","1","v South Africa","Port Elizabeth","16 Nov 2001"
"18","9.0","0","22","0","2.44","6","3","v South Africa","Port Elizabeth","16 Nov 2001"
"19","2.0","1","2","2","1.00","4","2","v South Africa","Johannesburg","15 Dec 2006"
"20","20.0","4","54","3","2.70","5","4","v South Africa","Johannesburg","15 Dec 2006"
"21","28.3","1","62","3","2.17","4","1","v South Africa","Durban","26 Dec 2006"
"22","16.0","4","37","1","2.31","4","3","v South Africa","Durban","26 Dec 2006"
"23","42.3","6","117","4","2.75","3","2","v South Africa","Cape Town","2 Jan 2007"
"24","25.0","4","74","1","2.96","3","4","v South Africa","Cape Town","2 Jan 2007"
