"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","13","1","3.25","4","1","v India","Delhi","25 Nov 1987"
"2","29.3","9","54","5","1.83","4","3","v India","Delhi","25 Nov 1987"
"3","17.4","2","54","5","3.05","3","1","v India","Mumbai","11 Dec 1987"
"4","14.0","2","40","4","2.85","3","3","v India","Mumbai","11 Dec 1987"
"5","29.0","3","136","4","4.68","2","2","v India","Kolkata","26 Dec 1987"
"6","27.0","3","85","3","3.14","2","1","v India","Chennai","11 Jan 1988"
"7","16.0","5","55","4","3.43","2","3","v India","Chennai","11 Jan 1988"
"8","22.0","4","79","6","3.59","1","1","v India","Mumbai","18 Nov 1994"
"9","28.0","6","64","2","2.28","1","3","v India","Mumbai","18 Nov 1994"
"10","32.0","7","93","2","2.90","1","1","v India","Nagpur","1 Dec 1994"
"11","5.5","3","2","2","0.34","1","3","v India","Nagpur","1 Dec 1994"
"12","35.0","4","89","2","2.54","1","2","v India","Mohali","10 Dec 1994"
"13","18.0","7","34","3","1.88","1","4","v India","Mohali","10 Dec 1994"
