"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","32.0","3","103","4","3.21","1","2","v India","Chennai","26 Mar 2008"
"2","8.0","2","23","5","2.87","1","1","v India","Ahmedabad","3 Apr 2008"
"3","23.0","1","91","3","3.95","1","3","v India","Ahmedabad","3 Apr 2008"
"4","20.0","1","71","3","3.55","1","2","v India","Kanpur","11 Apr 2008"
"5","2.0","0","15","0","7.50","1","4","v India","Kanpur","11 Apr 2008"
"6","16.4","6","51","7","3.06","1","2","v India","Nagpur","6 Feb 2010"
"7","18.1","1","57","3","3.13","1","3","v India","Nagpur","6 Feb 2010"
"8","30.0","5","115","1","3.83","1","2","v India","Kolkata","14 Feb 2010"
"9","11.0","3","30","0","2.72","1","1","v India","Mohali","5 Nov 2015"
"10","DNB","-","-","-","-","-","3","v India","Mohali","5 Nov 2015"
