"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","83","186","133","11","0","62.40","5","bowled","1","v West Indies","North Sound","13 Apr 2015"
"2","59","134","79","5","1","74.68","5","bowled","3","v West Indies","North Sound","13 Apr 2015"
"3","182*","333","229","17","4","79.47","5","not out","2","v West Indies","St George's","21 Apr 2015"
"4","DNB","-","-","-","-","-","-","-","4","v West Indies","St George's","21 Apr 2015"
"5","33","58","35","5","0","94.28","5","caught","1","v West Indies","Bridgetown","1 May 2015"
"6","1","34","13","0","0","7.69","5","caught","3","v West Indies","Bridgetown","1 May 2015"
