"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","24","50","49","4","0","48.97","5","bowled","1","v India","Kolkata","28 Nov 2004"
"2","2","24","20","0","0","10.00","5","caught","3","v India","Kolkata","28 Nov 2004"
"3","159","406","262","20","0","60.68","3","run out","1","v India","Chennai","26 Mar 2008"
"4","81","200","148","9","0","54.72","3","caught","3","v India","Chennai","26 Mar 2008"
"5","16","48","34","2","0","47.05","3","caught","2","v India","Ahmedabad","3 Apr 2008"
"6","51","114","101","6","0","50.49","3","bowled","1","v India","Kanpur","11 Apr 2008"
"7","0","7","6","0","0","0.00","3","caught","3","v India","Kanpur","11 Apr 2008"
"8","253*","675","473","22","0","53.48","3","not out","1","v India","Nagpur","6 Feb 2010"
"9","114","228","166","14","1","68.67","3","caught","1","v India","Kolkata","14 Feb 2010"
"10","123*","499","394","16","0","31.21","3","not out","3","v India","Kolkata","14 Feb 2010"
"11","43","147","97","6","0","44.32","4","stumped","2","v India","Mohali","5 Nov 2015"
"12","0","6","6","0","0","0.00","4","bowled","4","v India","Mohali","5 Nov 2015"
"13","7","33","18","1","0","38.88","4","bowled","1","v India","Bengaluru","14 Nov 2015"
"14","1","15","10","0","0","10.00","4","caught","2","v India","Nagpur","25 Nov 2015"
"15","39","219","167","2","0","23.35","4","caught","4","v India","Nagpur","25 Nov 2015"
"16","3","44","34","0","0","8.82","3","caught","2","v India","Delhi","3 Dec 2015"
"17","25","289","244","3","0","10.24","3","bowled","4","v India","Delhi","3 Dec 2015"
