"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","9","30","27","0","0","33.33","6","caught","1","v Australia","Melbourne","1 Feb 2008"
"2","48*","55","43","1","3","111.62","6","not out","2","v Australia","Sydney","1 Feb 2012"
"3","21*","26","18","2","0","116.66","4","not out","2","v Australia","Melbourne","3 Feb 2012"
"4","11*","3","3","1","1","366.66","5","not out","1","v Australia","Adelaide","26 Jan 2016"
"5","14","18","9","2","0","155.55","4","caught","1","v Australia","Melbourne","29 Jan 2016"
"6","DNB","-","-","-","-","-","-","-","2","v Australia","Sydney","31 Jan 2016"
