"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","58","161","127","6","0","45.66","4","stumped","2","v Australia","Brisbane","27 Nov 1992"
"2","0","13","12","0","0","0.00","4","caught","4","v Australia","Brisbane","27 Nov 1992"
"3","52","179","121","4","0","42.97","4","lbw","2","v Australia","Melbourne","26 Dec 1992"
"4","4","14","10","0","0","40.00","4","caught","4","v Australia","Melbourne","26 Dec 1992"
"5","277","474","372","38","0","74.46","4","run out","2","v Australia","Sydney","2 Jan 1993"
"6","52","100","76","6","0","68.42","4","caught","1","v Australia","Adelaide","23 Jan 1993"
"7","7","12","11","1","0","63.63","4","caught","3","v Australia","Adelaide","23 Jan 1993"
"8","16","27","21","2","0","76.19","4","caught","2","v Australia","Perth","30 Jan 1993"
"9","26","95","69","3","0","37.68","3","caught","2","v Australia","Brisbane","22 Nov 1996"
"10","44","95","75","7","0","58.66","3","caught","4","v Australia","Brisbane","22 Nov 1996"
"11","2","20","13","0","0","15.38","3","caught","2","v Australia","Sydney","29 Nov 1996"
"12","1","14","10","0","0","10.00","3","caught","4","v Australia","Sydney","29 Nov 1996"
"13","2","26","18","0","0","11.11","4","caught","2","v Australia","Melbourne","26 Dec 1996"
"14","2","17","9","0","0","22.22","4","caught","4","v Australia","Melbourne","26 Dec 1996"
"15","9","40","33","2","0","27.27","4","caught","1","v Australia","Adelaide","25 Jan 1997"
"16","78","167","144","12","2","54.16","4","caught","3","v Australia","Adelaide","25 Jan 1997"
"17","132","223","183","22","1","72.13","4","caught","2","v Australia","Perth","1 Feb 1997"
"18","DNB","-","-","-","-","-","-","-","4","v Australia","Perth","1 Feb 1997"
"19","0","11","4","0","0","0.00","3","caught","1","v Australia","Brisbane","23 Nov 2000"
"20","4","15","9","1","0","44.44","3","caught","3","v Australia","Brisbane","23 Nov 2000"
"21","0","1","1","0","0","0.00","4","caught","1","v Australia","Perth","1 Dec 2000"
"22","17","52","33","1","0","51.51","5","bowled","3","v Australia","Perth","1 Dec 2000"
"23","182","351","235","29","1","77.44","4","caught","1","v Australia","Adelaide","15 Dec 2000"
"24","39","48","38","4","1","102.63","4","caught","3","v Australia","Adelaide","15 Dec 2000"
"25","16","42","33","1","0","48.48","4","caught","2","v Australia","Melbourne","26 Dec 2000"
"26","0","9","7","0","0","0.00","4","bowled","4","v Australia","Melbourne","26 Dec 2000"
"27","35","88","73","4","0","47.94","4","caught","1","v Australia","Sydney","2 Jan 2001"
"28","28","52","36","4","0","77.77","4","caught","3","v Australia","Sydney","2 Jan 2001"
"29","5","9","8","1","0","62.50","4","lbw","2","v Australia","Sydney","14 Oct 2005"
"30","36","96","51","7","0","70.58","4","caught","4","v Australia","Sydney","14 Oct 2005"
"31","30","101","71","3","1","42.25","4","lbw","2","v Australia","Brisbane","3 Nov 2005"
"32","14","69","51","2","0","27.45","4","caught","4","v Australia","Brisbane","3 Nov 2005"
"33","13","68","46","1","0","28.26","4","lbw","1","v Australia","Hobart","17 Nov 2005"
"34","45","171","119","5","0","37.81","4","caught","3","v Australia","Hobart","17 Nov 2005"
"35","226","405","298","22","0","75.83","4","bowled","1","v Australia","Adelaide","25 Nov 2005"
"36","17","37","27","1","0","62.96","5","caught","3","v Australia","Adelaide","25 Nov 2005"
