"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","16","47","42","3","0","38.09","6","bowled","1","v Australia","Brisbane","29 Nov 1991"
"2","7","36","25","1","0","28.00","6","caught","3","v Australia","Brisbane","29 Nov 1991"
"3","15","33","23","0","0","65.21","7","caught","1","v Australia","Melbourne","26 Dec 1991"
"4","40","122","107","5","0","37.38","7","caught","3","v Australia","Melbourne","26 Dec 1991"
"5","148*","298","213","14","0","69.48","6","not out","2","v Australia","Sydney","2 Jan 1992"
"6","6","20","8","1","0","75.00","6","lbw","2","v Australia","Adelaide","25 Jan 1992"
"7","17","36","29","2","0","58.62","4","lbw","4","v Australia","Adelaide","25 Jan 1992"
"8","114","228","161","16","0","70.80","4","caught","2","v Australia","Perth","1 Feb 1992"
"9","5","12","9","1","0","55.55","4","caught","4","v Australia","Perth","1 Feb 1992"
"10","61","181","133","8","0","45.86","5","caught","2","v Australia","Adelaide","10 Dec 1999"
"11","0","6","5","0","0","0.00","5","lbw","4","v Australia","Adelaide","10 Dec 1999"
"12","116","283","191","9","1","60.73","4","caught","2","v Australia","Melbourne","26 Dec 1999"
"13","52","162","122","4","0","42.62","4","lbw","4","v Australia","Melbourne","26 Dec 1999"
"14","45","82","53","8","0","84.90","4","lbw","1","v Australia","Sydney","2 Jan 2000"
"15","4","6","4","1","0","100.00","4","caught","3","v Australia","Sydney","2 Jan 2000"
"16","0","3","3","0","0","0.00","4","lbw","2","v Australia","Brisbane","4 Dec 2003"
"17","DNB","-","-","-","-","-","-","-","4","v Australia","Brisbane","4 Dec 2003"
"18","1","15","6","0","0","16.66","4","caught","2","v Australia","Adelaide","12 Dec 2003"
"19","37","79","59","5","0","62.71","4","lbw","4","v Australia","Adelaide","12 Dec 2003"
"20","0","3","1","0","0","0.00","4","caught","1","v Australia","Melbourne","26 Dec 2003"
"21","44","107","79","5","0","55.69","5","caught","3","v Australia","Melbourne","26 Dec 2003"
"22","241*","613","436","33","0","55.27","4","not out","1","v Australia","Sydney","2 Jan 2004"
"23","60*","108","89","5","0","67.41","4","not out","3","v Australia","Sydney","2 Jan 2004"
"24","62","113","77","7","1","80.51","4","bowled","2","v Australia","Melbourne","26 Dec 2007"
"25","15","31","21","1","0","71.42","4","caught","4","v Australia","Melbourne","26 Dec 2007"
"26","154*","429","243","14","1","63.37","4","not out","2","v Australia","Sydney","2 Jan 2008"
"27","12","33","16","3","0","75.00","4","bowled","4","v Australia","Sydney","2 Jan 2008"
"28","71","175","128","9","0","55.46","4","lbw","1","v Australia","Perth","16 Jan 2008"
"29","13","33","25","2","0","52.00","5","lbw","3","v Australia","Perth","16 Jan 2008"
"30","153","342","205","13","3","74.63","4","caught","1","v Australia","Adelaide","24 Jan 2008"
"31","13","67","36","1","0","36.11","4","run out","3","v Australia","Adelaide","24 Jan 2008"
"32","73","151","98","8","1","74.48","4","bowled","2","v Australia","Melbourne","26 Dec 2011"
"33","32","73","46","4","0","69.56","4","caught","4","v Australia","Melbourne","26 Dec 2011"
"34","41","133","89","8","0","46.06","4","bowled","1","v Australia","Sydney","3 Jan 2012"
"35","80","213","141","9","0","56.73","4","caught","3","v Australia","Sydney","3 Jan 2012"
"36","15","46","25","3","0","60.00","4","lbw","1","v Australia","Perth","13 Jan 2012"
"37","8","22","16","1","0","50.00","4","lbw","3","v Australia","Perth","13 Jan 2012"
"38","25","94","69","3","0","36.23","4","caught","2","v Australia","Adelaide","24 Jan 2012"
"39","13","46","34","2","0","38.23","4","caught","4","v Australia","Adelaide","24 Jan 2012"
