"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","119","283","172","18","1","69.18","2","caught","2","v India","Mumbai","27 Feb 2001"
"2","28*","25","21","4","1","133.33","1","not out","4","v India","Mumbai","27 Feb 2001"
"3","97","242","157","14","3","61.78","2","caught","1","v India","Kolkata","11 Mar 2001"
"4","67","198","118","6","0","56.77","1","lbw","4","v India","Kolkata","11 Mar 2001"
"5","203","474","320","15","6","63.43","2","caught","1","v India","Chennai","18 Mar 2001"
"6","35","76","40","3","1","87.50","1","caught","3","v India","Chennai","18 Mar 2001"
"7","26","84","53","2","0","49.05","2","caught","1","v India","Bengaluru","6 Oct 2004"
"8","30","70","53","4","0","56.60","2","run out","3","v India","Bengaluru","6 Oct 2004"
"9","58","154","91","6","2","63.73","2","caught","1","v India","Chennai","14 Oct 2004"
"10","39","113","72","3","0","54.16","2","caught","3","v India","Chennai","14 Oct 2004"
"11","23","79","39","2","0","58.97","2","caught","1","v India","Nagpur","26 Oct 2004"
"12","9","47","28","2","0","32.14","2","bowled","3","v India","Nagpur","26 Oct 2004"
"13","35","105","73","1","3","47.94","2","caught","2","v India","Mumbai","3 Nov 2004"
"14","24","57","30","4","0","80.00","2","bowled","4","v India","Mumbai","3 Nov 2004"
"15","0","1","3","0","0","0.00","1","caught","1","v India","Bengaluru","9 Oct 2008"
"16","13","51","40","1","0","32.50","1","lbw","3","v India","Bengaluru","9 Oct 2008"
"17","0","2","3","0","0","0.00","1","bowled","2","v India","Mohali","17 Oct 2008"
"18","29","37","20","4","0","145.00","1","lbw","4","v India","Mohali","17 Oct 2008"
"19","83","247","154","13","1","53.89","1","lbw","2","v India","Delhi","29 Oct 2008"
"20","16*","27","29","4","0","55.17","1","not out","4","v India","Delhi","29 Oct 2008"
"21","16","30","26","3","0","61.53","1","run out","2","v India","Nagpur","6 Nov 2008"
"22","77","159","93","8","1","82.79","1","lbw","4","v India","Nagpur","6 Nov 2008"
