"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","41","114","87","4","0","47.12","3","caught","2","v Australia","Adelaide","10 Dec 1999"
"2","0","3","1","0","0","0.00","3","bowled","4","v Australia","Adelaide","10 Dec 1999"
"3","5","30","18","0","0","27.77","1","caught","2","v Australia","Melbourne","26 Dec 1999"
"4","1","15","16","0","0","6.25","1","caught","4","v Australia","Melbourne","26 Dec 1999"
"5","7","93","60","0","0","11.66","2","caught","1","v Australia","Sydney","2 Jan 2000"
"6","167","255","198","27","0","84.34","1","caught","3","v Australia","Sydney","2 Jan 2000"
"7","75","136","113","11","0","66.37","6","caught","2","v Australia","Brisbane","4 Dec 2003"
"8","24*","64","43","3","0","55.81","4","not out","4","v Australia","Brisbane","4 Dec 2003"
"9","148","356","282","18","0","52.48","6","caught","2","v Australia","Adelaide","12 Dec 2003"
"10","32","44","34","6","0","94.11","6","caught","4","v Australia","Adelaide","12 Dec 2003"
"11","19","108","86","2","0","22.09","6","caught","1","v Australia","Melbourne","26 Dec 2003"
"12","18","57","50","3","0","36.00","6","caught","3","v Australia","Melbourne","26 Dec 2003"
"13","178","403","298","30","0","59.73","5","bowled","1","v Australia","Sydney","2 Jan 2004"
"14","DNB","-","-","-","-","-","-","-","3","v Australia","Sydney","2 Jan 2004"
"15","26","98","56","1","0","46.42","3","caught","2","v Australia","Melbourne","26 Dec 2007"
"16","42","171","112","6","0","37.50","3","caught","4","v Australia","Melbourne","26 Dec 2007"
"17","109","218","142","18","0","76.76","3","caught","2","v Australia","Sydney","2 Jan 2008"
"18","20","52","34","3","0","58.82","3","lbw","4","v Australia","Sydney","2 Jan 2008"
"19","27","89","56","3","0","48.21","6","caught","1","v Australia","Perth","16 Jan 2008"
"20","79","228","156","8","0","50.64","7","caught","3","v Australia","Perth","16 Jan 2008"
"21","51","134","102","5","0","50.00","6","caught","1","v Australia","Adelaide","24 Jan 2008"
"22","12","39","30","0","0","40.00","6","caught","3","v Australia","Adelaide","24 Jan 2008"
"23","2","30","22","0","0","9.09","6","caught","2","v Australia","Melbourne","26 Dec 2011"
"24","1","22","14","0","0","7.14","5","caught","4","v Australia","Melbourne","26 Dec 2011"
"25","2","10","9","0","0","22.22","5","caught","1","v Australia","Sydney","3 Jan 2012"
"26","66","130","119","7","0","55.46","5","bowled","3","v Australia","Sydney","3 Jan 2012"
"27","31","124","86","5","0","36.04","5","caught","1","v Australia","Perth","13 Jan 2012"
"28","0","19","9","0","0","0.00","5","caught","3","v Australia","Perth","13 Jan 2012"
"29","18","61","43","1","0","41.86","5","caught","2","v Australia","Adelaide","24 Jan 2012"
"30","35","101","88","4","0","39.77","5","caught","4","v Australia","Adelaide","24 Jan 2012"
