"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","11","28","21","1","0","52.38","7","caught","2","v Australia","Melbourne","26 Dec 2011"
"2","0","3","1","0","0","0.00","6","lbw","4","v Australia","Melbourne","26 Dec 2011"
"3","23","50","41","3","0","56.09","6","caught","1","v Australia","Sydney","3 Jan 2012"
"4","9","35","24","2","0","37.50","6","lbw","3","v Australia","Sydney","3 Jan 2012"
"5","44","107","81","6","0","54.32","6","caught","1","v Australia","Perth","13 Jan 2012"
"6","75","191","136","9","0","55.14","6","caught","3","v Australia","Perth","13 Jan 2012"
"7","116","237","213","11","1","54.46","6","lbw","2","v Australia","Adelaide","24 Jan 2012"
"8","22","96","62","2","0","35.48","6","run out","4","v Australia","Adelaide","24 Jan 2012"
"9","115","267","184","12","0","62.50","4","caught","2","v Australia","Adelaide","9 Dec 2014"
"10","141","279","175","16","1","80.57","4","caught","4","v Australia","Adelaide","9 Dec 2014"
"11","19","50","27","1","0","70.37","4","caught","1","v Australia","Brisbane","17 Dec 2014"
"12","1","14","11","0","0","9.09","4","bowled","3","v Australia","Brisbane","17 Dec 2014"
"13","169","380","272","18","0","62.13","4","caught","2","v Australia","Melbourne","26 Dec 2014"
"14","54","134","99","7","0","54.54","4","caught","4","v Australia","Melbourne","26 Dec 2014"
"15","147","315","230","20","0","63.91","4","caught","2","v Australia","Sydney","6 Jan 2015"
"16","46","123","95","3","0","48.42","4","caught","4","v Australia","Sydney","6 Jan 2015"
