"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","8","18","22","0","0","36.36","4","bowled","2","v England","Nottingham","13 Jun 1930"
"2","131","258","287","10","0","45.64","3","bowled","4","v England","Nottingham","13 Jun 1930"
"3","254","341","376","25","0","67.55","3","caught","2","v England","Lord's","27 Jun 1930"
"4","1","2","3","0","0","33.33","3","caught","4","v England","Lord's","27 Jun 1930"
"5","334","383","448","46","0","74.55","3","caught","1","v England","Leeds","11 Jul 1930"
"6","14","30","27","1","0","51.85","3","caught","1","v England","Manchester","25 Jul 1930"
"7","232","438","417","16","0","55.63","3","caught","2","v England","The Oval","16 Aug 1930"
"8","29","29","32","6","0","90.62","4","caught","1","v England","Nottingham","8 Jun 1934"
"9","25","47","39","-","0","64.10","4","caught","3","v England","Nottingham","8 Jun 1934"
"10","36","46","37","7","0","97.29","3","caught","2","v England","Lord's","22 Jun 1934"
"11","13","28","27","-","0","48.14","4","caught","3","v England","Lord's","22 Jun 1934"
"12","30","66","52","3","0","57.69","6","caught","2","v England","Manchester","6 Jul 1934"
"13","DNB","-","-","-","-","-","-","-","4","v England","Manchester","6 Jul 1934"
"14","304","430","473","43","2","64.27","5","bowled","2","v England","Leeds","20 Jul 1934"
"15","244","316","271","32","1","90.03","3","caught","1","v England","The Oval","18 Aug 1934"
"16","77","116","106","6","1","72.64","3","bowled","3","v England","The Oval","18 Aug 1934"
"17","51","89","96","5","0","53.12","3","caught","2","v England","Nottingham","10 Jun 1938"
"18","144*","365","379","5","0","37.99","3","not out","3","v England","Nottingham","10 Jun 1938"
"19","18","26","26","2","0","69.23","3","bowled","2","v England","Lord's","24 Jun 1938"
"20","102*","147","135","15","0","75.55","3","not out","4","v England","Lord's","24 Jun 1938"
"21","103","178","184","9","0","55.97","4","bowled","2","v England","Leeds","22 Jul 1938"
"22","16","35","31","1","0","51.61","3","caught","4","v England","Leeds","22 Jul 1938"
"23","absent","-","-","-","-","-","-","-","2","v England","The Oval","20 Aug 1938"
"24","absent","-","-","-","-","-","-","-","3","v England","The Oval","20 Aug 1938"
"25","138","290","321","10","0","42.99","3","caught","2","v England","Nottingham","10 Jun 1948"
"26","0","12","10","0","0","0.00","3","caught","4","v England","Nottingham","10 Jun 1948"
"27","38","115","104","-","0","36.53","3","caught","1","v England","Lord's","24 Jun 1948"
"28","89","185","162","13","0","54.93","3","caught","3","v England","Lord's","24 Jun 1948"
"29","7","9","7","1","0","100.00","3","lbw","2","v England","Manchester","8 Jul 1948"
"30","30*","122","146","6","0","20.54","3","not out","4","v England","Manchester","8 Jul 1948"
"31","33","59","56","-","0","58.92","3","bowled","2","v England","Leeds","22 Jul 1948"
"32","173*","255","292","29","0","59.24","3","not out","4","v England","Leeds","22 Jul 1948"
"33","0","1","2","0","0","0.00","3","bowled","2","v England","The Oval","14 Aug 1948"
