"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","4","48","37","0","0","10.81","2","caught","2","v England","Lord's","22 Jul 1971"
"2","53","123","96","5","0","55.20","2","caught","4","v England","Lord's","22 Jul 1971"
"3","57","163","129","5","0","44.18","2","caught","2","v England","Manchester","5 Aug 1971"
"4","24","73","42","3","1","57.14","2","caught","4","v England","Manchester","5 Aug 1971"
"5","6","49","35","1","0","17.14","1","bowled","2","v England","The Oval","19 Aug 1971"
"6","0","10","9","0","0","0.00","1","lbw","4","v England","The Oval","19 Aug 1971"
"7","101","308","251","8","0","40.23","1","run out","2","v England","Manchester","6 Jun 1974"
"8","58","163","140","5","0","41.42","1","caught","4","v England","Manchester","6 Jun 1974"
"9","49","134","104","4","1","47.11","1","caught","2","v England","Lord's","20 Jun 1974"
"10","5","49","26","0","0","19.23","1","lbw","3","v England","Lord's","20 Jun 1974"
"11","0","1","1","0","0","0.00","1","caught","1","v England","Birmingham","4 Jul 1974"
"12","4","7","8","0","0","50.00","1","caught","3","v England","Birmingham","4 Jul 1974"
"13","61","178","160","3","0","38.12","1","run out","2","v England","Birmingham","12 Jul 1979"
"14","68","137","117","10","0","58.11","1","caught","3","v England","Birmingham","12 Jul 1979"
"15","42","139","114","4","0","36.84","1","caught","1","v England","Lord's","2 Aug 1979"
"16","59","142","117","8","0","50.42","1","caught","3","v England","Lord's","2 Aug 1979"
"17","78","240","209","9","0","37.32","1","bowled","2","v England","Leeds","16 Aug 1979"
"18","13","75","39","0","0","33.33","1","caught","2","v England","The Oval","30 Aug 1979"
"19","221","490","443","21","0","49.88","1","caught","4","v England","The Oval","30 Aug 1979"
"20","48","193","133","1","0","36.09","1","bowled","2","v England","Lord's","10 Jun 1982"
"21","24","84","73","1","0","32.87","1","caught","3","v England","Lord's","10 Jun 1982"
"22","2","19","20","0","0","10.00","1","caught","2","v England","Manchester","24 Jun 1982"
"23","absent","-","-","-","-","-","-","-","2","v England","The Oval","8 Jul 1982"
"24","DNB","-","-","-","-","-","-","-","4","v England","The Oval","8 Jul 1982"
"25","34","198","133","2","0","25.56","1","caught","2","v England","Lord's","5 Jun 1986"
"26","22","63","58","4","0","37.93","1","caught","4","v England","Lord's","5 Jun 1986"
"27","35","96","71","4","0","49.29","1","caught","1","v England","Leeds","19 Jun 1986"
"28","1","22","19","0","0","5.26","1","caught","3","v England","Leeds","19 Jun 1986"
"29","29","57","36","6","0","80.55","1","bowled","2","v England","Birmingham","3 Jul 1986"
"30","54","159","135","6","0","40.00","1","caught","4","v England","Birmingham","3 Jul 1986"
